City,Lat,Long,City Id,Date,Country,Max Temp,Humidity,Cloudiness,Wind Speed
el wasta,29.00176812326345,31.99520080828492,360464,1505278594,EG,84.06,47,0,13.24
mar del plata,-53.01389239706997,-40.042687547360444,3430863,1505275200,AR,48.2,93,0,4.7
busselton,-45.980550644102046,87.98130841121495,2075265,1505278594,AU,59.58,100,0,6.64
high level,59.99545339732256,-117.95680727456428,5975004,1505275200,CA,44.6,93,40,2.95
dibaya,-6.021217479161405,23.016165698408688,292223,1505275200,AE,91.4,36,0,14.99
cape town,-60.00606213690326,1.9552917403384693,3369157,1505277000,ZA,55.4,71,0,4.7
hithadhoo,-4.9954533973225566,70.01566052033341,1282256,1505278595,MV,83.35,100,56,8.55
pemangkat,1.9992422328870927,107.98484465774186,1631637,1505278595,ID,82,89,88,1.72
yaan,31.994190452134376,98.95705986360191,6696918,1505277060,TW,81.46,74,75,18.34
odweyne,7.020207123010861,45.96994190452134,53372,1505278596,SO,78.66,36,8,4.63
sarangani,3.9861076029300326,123.96665824703207,1687186,1505278596,PH,83.8,100,48,8.43
bar-le-duc,48.98636019196767,5.012376862844152,3034911,1505277000,FR,56.05,77,90,20.8
parfino,57.98913867138166,31.95882798686537,512570,1505278596,RU,65.8,86,48,8.88
albany,-71.00126294518817,96.97726698661278,5106834,1505277900,US,53.15,93,90,1.95
beringovskiy,54.990149027532205,177.01591310937104,2126710,1505278597,RU,41.95,100,88,8.88
rikitea,-25.981055822177318,-124.00277847941399,4030556,1505278597,PF,68.68,100,68,12.12
cockburn town,25.00227330133872,-67.03889871179591,3576994,1505278499,TC,82.08,100,8,4.63
minot,47.98610760293003,-101.04369790351099,5690532,1505274960,US,62.46,39,90,5.82
port-gentil,-0.9911593836827481,5.981308411214953,2396518,1505278597,GA,75.79,97,80,9.89
santa cruz cabralia,-17.013892397069966,-36.035615054306646,3450288,1505275200,BR,73.4,78,40,9.17
imbituba,-29.018944177822682,-45.99343268502147,3461370,1505275200,BR,68,88,75,1.95
georgetown,-13.01667087648396,-17.978024753725688,3378644,1505275200,GY,73.4,100,40,2.24
